Suburb,,,Type,Price,,,Distance,,Bedroom,,,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Buildingage,Pricepermeterland,Pricepermeterbuilding,Priceperbedroom,Priceperdistance,,Uppercase
Donvale,,,h,802000,,,16.1,,4,,,462,115,1960,Manningham City Council,-37.80495,145.1994,Eastern Metropolitan,4790,61,1735.930736,6973.913043,200500,49813.6646,,DONVALE
Donvale,,,h,1105000,,,16.1,,4,,,639,175,1970,Manningham City Council,-37.79755,145.17674,Eastern Metropolitan,4790,51,1729.264476,6314.285714,276250,68633.54037,,DONVALE
Elsternwick,,,h,1459000,,,7.2,,2,,,381,138,1915,Glen Eira City Council,-37.89061,145.01257,Southern Metropolitan,4898,106,3829.396325,10572.46377,729500,202638.8889,,ELSTERNWICK
Essendon,,,h,2800000,,,7.5,,4,,,,288,1910,Moonee Valley City Council,-37.74954,144.9229,Western Metropolitan,9264,111, ,9722.222222,700000,373333.3333,,ESSENDON
Ferntree Gully,,,h,880000,,,24.8,,4,,,739,225,1977,Knox City Council,-37.89109,145.26128,Eastern Metropolitan,10788,44,1190.798376,3911.111111,220000,35483.87097,,FERNTREE GULLY
Fitzroy North,,,h,2540000,,,3.6,,3,,,244,190,1910,Moreland City Council,-37.77849,144.9838,Northern Metropolitan,6244,111,10409.83607,13368.42105,846666.6667,705555.5556,,FITZROY NORTH
Fitzroy North,,,h,1860000,,,3.6,,3,,,,134,1880,Moreland City Council,-37.78196,144.98376,Northern Metropolitan,6244,141, ,13880.59701,620000,516666.6667,,FITZROY NORTH
Fitzroy North,,,h,1650000,,,3.6,,4,,,185,166,1900,Moreland City Council,-37.79013,144.97963,Northern Metropolitan,6244,121,8918.918919,9939.759036,412500,458333.3333,,FITZROY NORTH
Fitzroy North,,,h,1360000,,,3.6,,2,,,101,93,1880,Moreland City Council,-37.78495,144.98088,Northern Metropolitan,6244,141,13465.34653,14623.65591,680000,377777.7778,,FITZROY NORTH
Flemington,,,h,1300000,,,3.4,,3,,,226,104,1910,Melbourne City Council,-37.78452,144.92885,Northern Metropolitan,3593,111,5752.212389,12500,433333.3333,382352.9412,,FLEMINGTON
Footscray,,,h,1225000,,,5.1,,4,,,403,97,1900,Maribyrnong City Council,-37.79758,144.90246,Western Metropolitan,7570,121,3039.702233,12628.86598,306250,240196.0784,,FOOTSCRAY
Forest Hill,,,h,1200000,,,15.4,,3,,,608,155,1960,Whitehorse City Council,-37.83647,145.16176,Eastern Metropolitan,4385,61,1973.684211,7741.935484,400000,77922.07792,,FOREST HILL
Glen Waverley,,,h,1130000,,,16.7,,5,,,,60,1978,Monash City Council,-37.89482,145.16596,Eastern Metropolitan,15321,43, ,18833.33333,226000,67664.67066,,GLEN WAVERLEY
Glenroy,,,h,810000,,,11.2,,5,,,909,342,1990,Moreland City Council,-37.695,144.91038,Northern Metropolitan,8870,31,891.0891089,2368.421053,162000,72321.42857,,GLENROY
Glenroy,,,h,685000,,,11.2,,3,,,,121,1950,Moreland City Council,-37.70913,144.93557,Northern Metropolitan,8870,71, ,5661.157025,228333.3333,61160.71429,,GLENROY
Glenroy,,,h,685000,,,11.2,,4,,,607,174,1950,Moreland City Council,-37.69633,144.93069,Northern Metropolitan,8870,71,1128.500824,3936.781609,171250,61160.71429,,GLENROY
Hadfield,,,h,610000,,,11.2,,2,,,,77,1950,Moreland City Council,-37.71329,144.94019,Northern Metropolitan,2606,71, ,7922.077922,305000,54464.28571,,HADFIELD
Hampton,,,h,2160000,,,13.8,,4,,,,211,1920,Bayside City Council,-37.93065,145.00396,Southern Metropolitan,5454,101, ,10236.96682,540000,156521.7391,,HAMPTON
Hampton,,,h,3100000,,,13.8,,4,,,804,225,1915,Bayside City Council,-37.93326,144.99995,Southern Metropolitan,5454,106,3855.721393,13777.77778,775000,224637.6812,,HAMPTON
Hampton East,,,t,1415000,,,13.8,,4,,,,219,2017,Bayside City Council,-37.94232,145.03714,Southern Metropolitan,2356,4, ,6461.187215,353750,102536.2319,,HAMPTON EAST
Hampton East,,,h,1700000,,,13.8,,5,,,656,320,1996,Bayside City Council,-37.93933,145.02698,Southern Metropolitan,2356,25,2591.463415,5312.5,340000,123188.4058,,HAMPTON EAST
Hampton East,,,t,1070000,,,13.8,,4,,,,250,2016,Bayside City Council,-37.94219,145.02911,Southern Metropolitan,2356,5, ,4280,267500,77536.23188,,HAMPTON EAST
Hampton East,,,h,1175000,,,13.8,,3,,,333,188,2016,Bayside City Council,-37.93582,145.02845,Southern Metropolitan,2356,5,3528.528529,6250,391666.6667,85144.92754,,HAMPTON EAST
Hampton East,,,h,1347000,,,13.8,,3,,,593,140,1950,Bayside City Council,-37.94406,145.03219,Southern Metropolitan,2356,71,2271.500843,9621.428571,449000,97608.69565,,HAMPTON EAST
Highett,,,t,1330000,,,16,,3,,,,200,2016,Bayside City Council,-37.94953,145.03702,Southern Metropolitan,4794,5, ,6650,443333.3333,83125,,HIGHETT
Kealba,,,h,600000,,,14,,4,,,630,179,1985,Brimbank City Council,-37.73429,144.82178,Western Metropolitan,1202,36,952.3809524,3351.955307,150000,42857.14286,,KEALBA
Keilor Downs,,,h,780000,,,15.5,,3,,,702,175,1985,Brimbank City Council,-37.717,144.80736,Western Metropolitan,3656,36,1111.111111,4457.142857,260000,50322.58065,,KEILOR DOWNS
Keilor East,,,h,925000,,,11.7,,6,,,516,268,1970,Brimbank City Council,-37.75045,144.87158,Western Metropolitan,5629,51,1792.635659,3451.492537,154166.6667,79059.82906,,KEILOR EAST
Keilor East,,,t,820000,,,11.7,,3,,,,171,2005,Brimbank City Council,-37.74007,144.86567,Western Metropolitan,5629,16, ,4795.321637,273333.3333,70085.47009,,KEILOR EAST
Keilor East,,,h,850000,,,11.7,,3,,,555,185,1985,Brimbank City Council,-37.74886,144.85829,Western Metropolitan,5629,36,1531.531532,4594.594595,283333.3333,72649.57265,,KEILOR EAST
Keilor East,,,h,740000,,,11.7,,4,,,534,120,1970,Brimbank City Council,-37.74796,144.84966,Western Metropolitan,5629,51,1385.76779,6166.666667,185000,63247.86325,,KEILOR EAST
Kensington,,,h,1760000,,,3.4,,3,,,176,212,1900,Melbourne City Council,-37.7956,144.93419,Northern Metropolitan,5263,121,10000,8301.886792,586666.6667,517647.0588,,KENSINGTON
Kings Park,,,h,526000,,,14,,3,,,530,161,1985,Brimbank City Council,-37.72819,144.76642,Western Metropolitan,2878,36,992.4528302,3267.080745,175333.3333,37571.42857,,KINGS PARK
Malvern,,,h,6600000,,,5.9,,5,,,,465,1940,Stonnington City Council,-37.84813,145.03193,Southern Metropolitan,4675,81, ,14193.54839,1320000,1118644.068,,MALVERN
Malvern,,,h,2800000,,,5.9,,4,,,,254,2002,Stonnington City Council,-37.86075,145.03656,Southern Metropolitan,4675,19, ,11023.62205,700000,474576.2712,,MALVERN
Malvern East,,,h,2180000,,,8.4,,3,,,697,126,1920,Stonnington City Council,-37.88066,145.05466,Southern Metropolitan,8801,101,3127.6901,17301.5873,726666.6667,259523.8095,,MALVERN EAST
Malvern East,,,h,1620000,,,8.4,,3,,,336,185,1930,Stonnington City Council,-37.8764,145.05031,Southern Metropolitan,8801,91,4821.428571,8756.756757,540000,192857.1429,,MALVERN EAST
Maribyrnong,,,h,1190000,,,4.3,,3,,,688,113,1940,Maribyrnong City Council,-37.76834,144.89411,Western Metropolitan,4918,81,1729.651163,10530.97345,396666.6667,276744.186,,MARIBYRNONG
Maribyrnong,,,h,1770000,,,4.3,,4,,,606,337,1980,Maribyrnong City Council,-37.76323,144.88825,Western Metropolitan,4918,41,2920.792079,5252.225519,442500,411627.907,,MARIBYRNONG
McKinnon,,,t,1312000,,,11.4,,3,,,283,165,1995,Glen Eira City Council,-37.90718,145.03193,Southern Metropolitan,2397,26,4636.042403,7951.515152,437333.3333,115087.7193,,MCKINNON
Middle Park,,,h,1515000,,,3,,2,,,123,78,1900,Port Phillip City Council,-37.85508,144.968,Southern Metropolitan,2019,121,12317.07317,19423.07692,757500,505000,,MIDDLE PARK
Mitcham,,,h,890000,,,17.2,,3,,,,284,2003,Whitehorse City Council,-37.82227,145.18922,Eastern Metropolitan,6871,18, ,3133.802817,296666.6667,51744.18605,,MITCHAM
Mitcham,,,h,2305000,,,17.2,,3,,,1714,147,1960,Whitehorse City Council,-37.82698,145.19544,Eastern Metropolitan,6871,61,1344.807468,15680.27211,768333.3333,134011.6279,,MITCHAM
Moonee Ponds,,,h,1400000,,,6.2,,4,,,602,156,1940,Moonee Valley City Council,-37.75956,144.92994,Western Metropolitan,6232,81,2325.581395,8974.358974,350000,225806.4516,,MOONEE PONDS
Mount Waverley,,,h,1100000,,,14.2,,3,,,728,,1951,Monash City Council,-37.86393,145.1367,Eastern Metropolitan,13366,70,1510.989011, ,366666.6667,77464.78873,,MOUNT WAVERLEY
Mount Waverley,,,h,1250000,,,14.2,,4,,,728,,1960,Monash City Council,-37.88578,145.12735,Eastern Metropolitan,13366,61,1717.032967, ,312500,88028.16901,,MOUNT WAVERLEY
Murrumbeena,,,t,1601000,,,10.1,,4,,,,222,2006,Glen Eira City Council,-37.88707,145.07492,Southern Metropolitan,4442,15, ,7211.711712,400250,158514.8515,,MURRUMBEENA
Murrumbeena,,,h,1350000,,,10.1,,3,,,,,1950,Glen Eira City Council,-37.90469,145.07467,Southern Metropolitan,4442,71, , ,450000,133663.3663,,MURRUMBEENA
Niddrie,,,h,1250000,,,10.4,,4,,,325,413,1967,Moonee Valley City Council,-37.74063,144.88977,Western Metropolitan,2291,54,3846.153846,3026.634383,312500,120192.3077,,NIDDRIE
North Melbourne,,,h,850000,,,1.8,,2,,,119,81,1890,Melbourne City Council,-37.79058,144.94253,Northern Metropolitan,6821,131,7142.857143,10493.82716,425000,472222.2222,,NORTH MELBOURNE
Oak Park,,,u,625000,,,11.2,,2,,,,103,2010,Moreland City Council,-37.71671,144.92018,Northern Metropolitan,2651,11, ,6067.961165,312500,55803.57143,,OAK PARK
Ormond,,,h,1650000,,,11.4,,3,,,581,,1980,Glen Eira City Council,-37.90499,145.04206,Southern Metropolitan,3578,41,2839.931153, ,550000,144736.8421,,ORMOND
Ormond,,,h,1370000,,,11.4,,3,,,290,168,2016,Glen Eira City Council,-37.90512,145.04274,Southern Metropolitan,3578,5,4724.137931,8154.761905,456666.6667,120175.4386,,ORMOND
Pascoe Vale,,,h,1110000,,,8.5,,3,,,407,154,2010,Moreland City Council,-37.72616,144.94449,Northern Metropolitan,7485,11,2727.272727,7207.792208,370000,130588.2353,,PASCOE VALE
Pascoe Vale,,,h,1000000,,,8.5,,3,,,,133,1955,Moreland City Council,-37.72568,144.92717,Northern Metropolitan,7485,66, ,7518.796992,333333.3333,117647.0588,,PASCOE VALE
Port Melbourne,,,h,1200000,,,3.5,,2,,,122,126,2002,Melbourne City Council,-37.83705,144.94515,Southern Metropolitan,8648,19,9836.065574,9523.809524,600000,342857.1429,,PORT MELBOURNE
Port Melbourne,,,h,2725000,,,3.5,,5,,,249,210,1900,Melbourne City Council,-37.83805,144.94761,Southern Metropolitan,8648,121,10943.7751,12976.19048,545000,778571.4286,,PORT MELBOURNE
Prahran,,,h,1550000,,,4.6,,2,,,148,,2012,Stonnington City Council,-37.85053,145.00516,Southern Metropolitan,7717,9,10472.97297, ,775000,336956.5217,,PRAHRAN
Preston,,,h,1500000,,,8.4,,4,,,424,232,2013,Darebin City Council,-37.74587,144.99245,Northern Metropolitan,14577,8,3537.735849,6465.517241,375000,178571.4286,,PRESTON
Preston,,,h,1420000,,,8.4,,5,,,,317,1935,Darebin City Council,-37.7374,144.99115,Northern Metropolitan,14577,86, ,4479.495268,284000,169047.619,,PRESTON
Preston,,,h,1081000,,,8.4,,3,,,489,155,1950,Darebin City Council,-37.74138,145.02029,Northern Metropolitan,14577,71,2210.633947,6974.193548,360333.3333,128690.4762,,PRESTON
Preston,,,h,780000,,,8.4,,2,,,,109,1890,Darebin City Council,-37.74465,145.00758,Northern Metropolitan,14577,131, ,7155.963303,390000,92857.14286,,PRESTON
Preston,,,h,1002000,,,8.4,,3,,,,,1970,Darebin City Council,-37.73626,144.98969,Northern Metropolitan,14577,51, , ,334000,119285.7143,,PRESTON
Reservoir,,,h,980000,,,12,,3,,,694,131,1940,Darebin City Council,-37.70955,145.01395,Northern Metropolitan,21650,81,1412.103746,7480.916031,326666.6667,81666.66667,,RESERVOIR
Richmond,,,h,2200000,,,2.4,,3,,,155,171,1887,Yarra City Council,-37.82394,145.00044,Northern Metropolitan,14949,134,14193.54839,12865.49708,733333.3333,916666.6667,,RICHMOND
Richmond,,,h,1360000,,,2.4,,2,,,139,65,1920,Yarra City Council,-37.8118,144.99374,Northern Metropolitan,14949,101,9784.172662,20923.07692,680000,566666.6667,,RICHMOND
Ringwood,,,h,1230000,,,19.9,,5,,,591,195,1950,Maroondah City Council,-37.81795,145.22852,Eastern Metropolitan,7785,71,2081.218274,6307.692308,246000,61809.04523,,RINGWOOD
Ringwood East,,,h,1675000,,,21.3,,4,,,1633,254,1960,Maroondah City Council,-37.813,145.25542,Eastern Metropolitan,4407,61,1025.719535,6594.488189,418750,78638.49765,,RINGWOOD EAST
Ringwood East,,,h,875000,,,21.3,,3,,,576,,2003,Maroondah City Council,-37.81255,145.2461,Eastern Metropolitan,4407,18,1519.097222, ,291666.6667,41079.81221,,RINGWOOD EAST
Ringwood North,,,h,1080000,,,19.9,,4,,,710,,1980,Manningham City Council,-37.7913,145.24013,Eastern Metropolitan,3619,41,1521.126761, ,270000,54271.35678,,RINGWOOD NORTH
Sandringham,,,h,1900000,,,15.2,,4,,,,210,1940,Bayside City Council,-37.94825,145.01634,Southern Metropolitan,4497,81, ,9047.619048,475000,125000,,SANDRINGHAM
Sandringham,,,h,2200000,,,15.2,,4,,,589,20,1917,Bayside City Council,-37.95333,145.01048,Southern Metropolitan,4497,104,3735.144312,110000,550000,144736.8421,,SANDRINGHAM
St Albans,,,h,660000,,,14,,4,,,582,185,1984,Brimbank City Council,-37.73517,144.78804,Western Metropolitan,14042,37,1134.020619,3567.567568,165000,47142.85714,,ST ALBANS
St Albans,,,h,620000,,,14,,5,,,534,107,1975,Brimbank City Council,-37.75177,144.80173,Western Metropolitan,14042,46,1161.048689,5794.392523,124000,44285.71429,,ST ALBANS
St Albans,,,h,620000,,,14,,4,,,535,172,1990,Brimbank City Council,-37.72843,144.78999,Western Metropolitan,14042,31,1158.878505,3604.651163,155000,44285.71429,,ST ALBANS
Strathmore,,,h,1400000,,,8.2,,3,,,517,529,1925,Moonee Valley City Council,-37.73894,144.90766,Western Metropolitan,3284,96,2707.930368,2646.502836,466666.6667,170731.7073,,STRATHMORE
Strathmore Heights,,,t,800000,,,8.2,,3,,,306,206,2010,Moonee Valley City Council,-37.71344,144.89478,Western Metropolitan,389,11,2614.379085,3883.495146,266666.6667,97560.97561,,STRATHMORE HEIGHTS
Sunshine,,,h,772500,,,10.5,,3,,,,106,1920,Brimbank City Council,-37.78586,144.82561,Western Metropolitan,3755,101, ,7287.735849,257500,73571.42857,,SUNSHINE
Sunshine,,,h,760000,,,10.5,,2,,,,107,1955,Brimbank City Council,-37.78806,144.84197,Western Metropolitan,3755,66, ,7102.803738,380000,72380.95238,,SUNSHINE
Sunshine,,,h,975000,,,10.5,,3,,,695,145,1970,Brimbank City Council,-37.79058,144.83958,Western Metropolitan,3755,51,1402.877698,6724.137931,325000,92857.14286,,SUNSHINE
Sunshine North,,,h,705000,,,10.5,,3,,,695,697,1961,Brimbank City Council,-37.76908,144.82356,Western Metropolitan,4217,60,1014.388489,1011.477762,235000,67142.85714,,SUNSHINE NORTH
Sunshine North,,,h,722000,,,10.5,,2,,,,105,1995,Brimbank City Council,-37.77243,144.83578,Western Metropolitan,4217,26, ,6876.190476,361000,68761.90476,,SUNSHINE NORTH
Taylors Lakes,,,h,836000,,,15.5,,4,,,700,223,2000,Brimbank City Council,-37.68251,144.77764,Western Metropolitan,5336,21,1194.285714,3748.878924,209000,53935.48387,,TAYLORS LAKES
Taylors Lakes,,,h,725000,,,15.5,,5,,,640,269,1998,Brimbank City Council,-37.69102,144.78505,Western Metropolitan,5336,23,1132.8125,2695.167286,145000,46774.19355,,TAYLORS LAKES
Taylors Lakes,,,h,681500,,,15.5,,3,,,650,,1991,Brimbank City Council,-37.69783,144.78773,Western Metropolitan,5336,30,1048.461538, ,227166.6667,43967.74194,,TAYLORS LAKES
Templestowe,,,h,1950000,,,15.5,,5,,,585,275,1992,Manningham City Council,-37.75644,145.15528,Eastern Metropolitan,6202,29,3333.333333,7090.909091,390000,125806.4516,,TEMPLESTOWE
Thornbury,,,h,1250000,,,7,,2,,,338,107,1925,Darebin City Council,-37.75558,144.9875,Northern Metropolitan,8870,96,3698.224852,11682.24299,625000,178571.4286,,THORNBURY
Tullamarine,,,h,700500,,,12.9,,3,,,573,,1980,Brimbank City Council,-37.70395,144.87422,Western Metropolitan,3296,41,1222.513089, ,233500,54302.32558,,TULLAMARINE
Vermont,,,h,1160000,,,17.2,,4,,,654,270,1985,Maroondah City Council,-37.84351,145.19246,Eastern Metropolitan,4181,36,1773.700306,4296.296296,290000,67441.86047,,VERMONT
Vermont,,,h,903000,,,17.2,,3,,,711,152,1935,Maroondah City Council,-37.83315,145.2026,Eastern Metropolitan,4181,86,1270.042194,5940.789474,301000,52500,,VERMONT
Vermont,,,h,1595000,,,17.2,,4,,,616,289,2014,Maroondah City Council,-37.84009,145.19954,Eastern Metropolitan,4181,7,2589.285714,5519.031142,398750,92732.55814,,VERMONT
Wantirna,,,h,812000,,,14.7,,3,,,560,129,1982,Knox City Council,-37.86422,145.2272,Eastern Metropolitan,5424,39,1450,6294.573643,270666.6667,55238.09524,,WANTIRNA
Wantirna South,,,h,1050000,,,14.7,,4,,,,175,2001,Knox City Council,-37.88715,145.21598,Eastern Metropolitan,7082,20, ,6000,262500,71428.57143,,WANTIRNA SOUTH
West Footscray,,,h,857500,,,6.4,,3,,,417,115,1950,Maribyrnong City Council,-37.79139,144.86596,Western Metropolitan,5058,71,2056.354916,7456.521739,285833.3333,133984.375,,WEST FOOTSCRAY
Williamstown,,,h,1630000,,,6.8,,5,,,,287,2008,Hobsons Bay City Council,-37.85649,144.87376,Western Metropolitan,6380,13, ,5679.442509,326000,239705.8824,,WILLIAMSTOWN
Williamstown,,,h,1525000,,,6.8,,3,,,,237,1860,Hobsons Bay City Council,-37.86097,144.90015,Western Metropolitan,6380,161, ,6434.599156,508333.3333,224264.7059,,WILLIAMSTOWN
Williamstown,,,h,1285000,,,6.8,,3,,,285,121,1910,Hobsons Bay City Council,-37.85428,144.89488,Western Metropolitan,6380,111,4508.77193,10619.83471,428333.3333,188970.5882,,WILLIAMSTOWN
Williamstown,,,h,2065000,,,6.8,,3,,,412,136,1940,Hobsons Bay City Council,-37.85324,144.89958,Western Metropolitan,6380,81,5012.135922,15183.82353,688333.3333,303676.4706,,WILLIAMSTOWN
Williamstown North,,,h,1615000,,,6.8,,5,,,466,203,1910,Hobsons Bay City Council,-37.85593,144.8785,Western Metropolitan,802,111,3465.665236,7955.665025,323000,237500,,WILLIAMSTOWN NORTH
Yarraville,,,h,1160000,,,6.3,,3,,,,106,1950,Maribyrnong City Council,-37.81488,144.88922,Western Metropolitan,6543,71, ,10943.39623,386666.6667,184126.9841,,YARRAVILLE
Airport West,,,h,970000,,,10.4,,3,,,634,140,1960,Moonee Valley City Council,-37.72904,144.88259,Western Metropolitan,3464,61,1529.968454,6928.571429,323333.3333,93269.23077,,AIRPORT WEST
Airport West,,,h,790000,,,10.4,,4,,,585,178,2015,Moonee Valley City Council,-37.73344,144.88925,Western Metropolitan,3464,6,1350.42735,4438.202247,197500,75961.53846,,AIRPORT WEST
Albert Park,,,h,1950000,,,3,,3,,,,124,1890,Port Phillip City Council,-37.84666,144.95578,Southern Metropolitan,3280,131, ,15725.80645,650000,650000,,ALBERT PARK
Altona,,,h,850000,,,11,,3,,,,117,1960,Hobsons Bay City Council,-37.86876,144.80737,Western Metropolitan,5301,61, ,7264.957265,283333.3333,77272.72727,,ALTONA
Altona Meadows,,,h,718000,,,15.5,,3,,,560,154,1990,Hobsons Bay City Council,-37.8879,144.77873,Western Metropolitan,7630,31,1282.142857,4662.337662,239333.3333,46322.58065,,ALTONA MEADOWS
Avondale Heights,,,h,727500,,,9.5,,3,,,641,137,1970,Moonee Valley City Council,-37.7576,144.85979,Western Metropolitan,4502,51,1134.945398,5310.218978,242500,76578.94737,,AVONDALE HEIGHTS
Bayswater,,,h,910000,,,23.2,,3,,,1028,175,1980,Knox City Council,-37.84034,145.25416,Eastern Metropolitan,5030,41,885.2140078,5200,303333.3333,39224.13793,,BAYSWATER
Bayswater,,,h,862000,,,23.2,,3,,,719,168,1975,Knox City Council,-37.85255,145.25799,Eastern Metropolitan,5030,46,1198.887344,5130.952381,287333.3333,37155.17241,,BAYSWATER
Bayswater,,,h,822000,,,23.2,,5,,,721,185,1980,Knox City Council,-37.8506,145.25909,Eastern Metropolitan,5030,41,1140.083218,4443.243243,164400,35431.03448,,BAYSWATER
Bayswater North,,,h,720000,,,23.2,,3,,,,113,1990,Maroondah City Council,-37.82972,145.26797,Eastern Metropolitan,3598,31, ,6371.681416,240000,31034.48276,,BAYSWATER NORTH
Bentleigh,,,h,1740000,,,11.4,,5,,,,257,1960,Glen Eira City Council,-37.92707,145.0335,Southern Metropolitan,6795,61, ,6770.428016,348000,152631.5789,,BENTLEIGH
Bentleigh East,,,t,1320500,,,13.8,,4,,,,250,2017,Glen Eira City Council,-37.91034,145.07706,Southern Metropolitan,10969,4, ,5282,330125,95688.4058,,BENTLEIGH EAST
Bentleigh East,,,h,1420000,,,13.8,,4,,,,,1950,Glen Eira City Council,-37.92885,145.06422,Southern Metropolitan,10969,71, , ,355000,102898.5507,,BENTLEIGH EAST
Bentleigh East,,,h,1182000,,,13.8,,3,,,,,1950,Glen Eira City Council,-37.92247,145.07757,Southern Metropolitan,10969,71, , ,394000,85652.17391,,BENTLEIGH EAST
Blackburn,,,h,2250000,,,13.4,,5,,,,420,2016,Whitehorse City Council,-37.83016,145.14398,Eastern Metropolitan,5713,5, ,5357.142857,450000,167910.4478,,BLACKBURN
Blackburn North,,,h,1570000,,,13.4,,5,,,870,172,1970,Whitehorse City Council,-37.80554,145.15549,Eastern Metropolitan,2867,51,1804.597701,9127.906977,314000,117164.1791,,BLACKBURN NORTH
Boronia,,,h,629000,,,25,,3,,,730,100,1969,Knox City Council,-37.84889,145.29539,Eastern Metropolitan,9704,52,861.6438356,6290,209666.6667,25160,,BORONIA
Brighton,,,h,1900000,,,10.5,,3,,,386,118,1953,Bayside City Council,-37.92276,144.99957,Southern Metropolitan,10579,68,4922.279793,16101.69492,633333.3333,180952.381,,BRIGHTON
Brighton East,,,h,1262000,,,10.3,,2,,,440,103,1930,Bayside City Council,-37.91444,145.02076,Southern Metropolitan,6938,91,2868.181818,12252.42718,631000,122524.2718,,BRIGHTON EAST
Brunswick,,,h,1011000,,,5.2,,2,,,178,75,1900,Moreland City Council,-37.76685,144.96615,Northern Metropolitan,11918,121,5679.775281,13480,505500,194423.0769,,BRUNSWICK
Brunswick,,,h,1150000,,,5.2,,3,,,408,124,1920,Moreland City Council,-37.77296,144.9562,Northern Metropolitan,11918,101,2818.627451,9274.193548,383333.3333,221153.8462,,BRUNSWICK
Brunswick,,,h,970000,,,5.2,,2,,,,,1890,Moreland City Council,-37.77333,144.95797,Northern Metropolitan,11918,131, , ,485000,186538.4615,,BRUNSWICK
Brunswick,,,h,970000,,,5.2,,2,,,241,113,1910,Moreland City Council,-37.76392,144.9662,Northern Metropolitan,11918,111,4024.896266,8584.070796,485000,186538.4615,,BRUNSWICK
Brunswick,,,h,1665000,,,5.2,,4,,,371,223,2014,Moreland City Council,-37.75782,144.97608,Northern Metropolitan,11918,7,4487.87062,7466.367713,416250,320192.3077,,BRUNSWICK
Carlton North,,,h,1391000,,,3.5,,4,,,,95,1890,Melbourne City Council,-37.7852,144.97233,Northern Metropolitan,3106,131, ,14642.10526,347750,397428.5714,,CARLTON NORTH
Caulfield South,,,h,1300000,,,8.7,,4,,,,,1970,Glen Eira City Council,-37.89052,145.0309,Southern Metropolitan,5051,51, , ,325000,149425.2874,,CAULFIELD SOUTH
Caulfield South,,,t,1675000,,,8.7,,4,,,295,218,2012,Glen Eira City Council,-37.8971,145.03477,Southern Metropolitan,5051,9,5677.966102,7683.486239,418750,192528.7356,,CAULFIELD SOUTH
Cheltenham,,,h,800000,,,17.9,,3,,,585,123,1965,Bayside City Council,-37.9685,145.07538,Southern Metropolitan,9758,56,1367.521368,6504.065041,266666.6667,44692.73743,,CHELTENHAM
Cheltenham,,,t,955000,,,17.9,,2,,,,117,2002,Bayside City Council,-37.96273,145.04935,Southern Metropolitan,9758,19, ,8162.393162,477500,53351.95531,,CHELTENHAM
Cheltenham,,,h,888000,,,17.9,,3,,,581,136,1960,Bayside City Council,-37.96748,145.07105,Southern Metropolitan,9758,61,1528.399312,6529.411765,296000,49608.93855,,CHELTENHAM
Clifton Hill,,,h,1300000,,,3.6,,3,,,241,115,1890,Yarra City Council,-37.78785,145.00056,Northern Metropolitan,2954,131,5394.190871,11304.34783,433333.3333,361111.1111,,CLIFTON HILL
Coburg,,,h,1090000,,,6.7,,4,,,614,181,1920,Darebin City Council,-37.74043,144.95909,Northern Metropolitan,11204,101,1775.2443,6022.099448,272500,162686.5672,,COBURG
Coburg North,,,h,965000,,,6.7,,4,,,,143,1970,Darebin City Council,-37.72455,144.96716,Northern Metropolitan,3445,51, ,6748.251748,241250,144029.8507,,COBURG NORTH
Coburg North,,,h,730000,,,6.7,,2,,,390,91,1950,Darebin City Council,-37.72481,144.96085,Northern Metropolitan,3445,71,1871.794872,8021.978022,365000,108955.2239,,COBURG NORTH
Coburg North,,,h,950000,,,6.7,,3,,,402,123,1950,Darebin City Council,-37.7341,144.97725,Northern Metropolitan,3445,71,2363.18408,7723.577236,316666.6667,141791.0448,,COBURG NORTH
Coburg North,,,h,800000,,,6.7,,3,,,506,100,1955,Darebin City Council,-37.73039,144.98014,Northern Metropolitan,3445,66,1581.027668,8000,266666.6667,119402.9851,,COBURG NORTH
Collingwood,,,h,1079500,,,2,,2,,,125,125,1982,Yarra City Council,-37.79799,144.98954,Northern Metropolitan,4553,39,8636,8636,539750,539750,,COLLINGWOOD
Cremorne,,,h,1245000,,,2.4,,3,,,156,113,1880,Yarra City Council,-37.82795,144.99565,Northern Metropolitan,1123,141,7980.769231,11017.69912,415000,518750,,CREMORNE
Croydon,,,h,720000,,,23,,3,,,,,1970,Maroondah City Council,-37.78376,145.26544,Eastern Metropolitan,11925,51, , ,240000,31304.34783,,CROYDON
Croydon,,,h,997000,,,23,,5,,,,380,1980,Maroondah City Council,-37.80882,145.26459,Eastern Metropolitan,11925,41, ,2623.684211,199400,43347.82609,,CROYDON
Croydon,,,h,655200,,,23,,3,,,,95,2000,Maroondah City Council,-37.79623,145.29918,Eastern Metropolitan,11925,21, ,6896.842105,218400,28486.95652,,CROYDON
Delahey,,,h,600000,,,18,,4,,,,148,1989,Brimbank City Council,-37.72336,144.77527,Western Metropolitan,2898,32, ,4054.054054,150000,33333.33333,,DELAHEY
Derrimut,,,h,561000,,,14.7,,4,,,,225,2010,Brimbank City Council,-37.79128,144.75792,Western Metropolitan,2276,11, ,2493.333333,140250,38163.26531,,DERRIMUT
Derrimut,,,h,912000,,,14.7,,4,,,,271,2008,Brimbank City Council,-37.78746,144.75702,Western Metropolitan,2276,13, ,3365.313653,228000,62040.81633,,DERRIMUT
